bucket_lower,bucket_upper,bucket_value
0,0.005,251259
0.005,0.01,502509
0.01,0.015,502515
0.015,0.02,502511
0.02,0.025,502512
0.025,0.03,502513
0.03,0.035,502512
0.035,0.04,502514
0.04,0.045,502511
0.045,0.05,502514
0.05,0.055,502511
0.055,0.06,502511
0.06,0.065,502515
0.065,0.07,502513
0.07,0.075,502513
0.075,0.08,502512
0.08,0.085,502514
0.085,0.09,502512
0.09,0.095,502513
0.095,0.1,502511
0.1,0.105,502512
0.105,0.11,502512
0.11,0.115,502513
0.115,0.12,502511
0.12,0.125,502514
0.125,0.13,502515
0.13,0.135,502510
0.135,0.14,502514
0.14,0.145,502513
0.145,0.15,502512
0.15,0.155,502514
0.155,0.16,502512
0.16,0.165,502513
0.165,0.17,502512
0.17,0.175,502513
0.175,0.18,502511
0.18,0.185,502514
0.185,0.19,502513
0.19,0.195,502512
0.195,0.2,502512
0.2,0.205,502514
0.205,0.21,502513
0.21,0.215,502511
0.215,0.22,502511
0.22,0.225,502512
0.225,0.23,502513
0.23,0.235,502514
0.235,0.24,502512
0.24,0.245,502513
0.245,0.25,502514
0.25,0.255,502512
0.255,0.26,502509
0.26,0.265,502514
0.265,0.27,502515
0.27,0.275,502511
0.275,0.28,502511
0.28,0.285,502515
0.285,0.29,502513
0.29,0.295,502511
0.295,0.3,502514
0.3,0.305,502509
0.305,0.31,502516
0.31,0.315,502511
0.315,0.32,502512
0.32,0.325,502512
0.325,0.33,502514
0.33,0.335,502514
0.335,0.34,502508
0.34,0.345,502515
0.345,0.35,502512
0.35,0.355,502512
0.355,0.36,502515
0.36,0.365,502510
0.365,0.37,502515
0.37,0.375,502512
0.375,0.38,502513
0.38,0.385,502512
0.385,0.39,502512
0.39,0.395,502513
0.395,0.4,502517
0.4,0.405,502509
0.405,0.41,502513
0.41,0.415,502512
0.415,0.42,502512
0.42,0.425,502513
0.425,0.43,502513
0.43,0.435,502513
0.435,0.44,502511
0.44,0.445,502513
0.445,0.45,502514
0.45,0.455,502513
0.455,0.46,502513
0.46,0.465,502509
0.465,0.47,502514
0.47,0.475,502514
0.475,0.48,502512
0.48,0.485,502512
0.485,0.49,502513
0.49,0.495,502514
0.495,0.5,502514
0.5,0.505,502509
0.505,0.51,502512
0.51,0.515,502513
0.515,0.52,502513
0.52,0.525,502512
0.525,0.53,502509
0.53,0.535,502515
0.535,0.54,502516
0.54,0.545,502511
0.545,0.55,502510
0.55,0.555,502514
0.555,0.56,502511
0.56,0.565,502512
0.565,0.57,502516
0.57,0.575,502511
0.575,0.58,502515
0.58,0.585,502511
0.585,0.59,502512
0.59,0.595,502512
0.595,0.6,502515
0.6,0.605,502510
0.605,0.61,502514
0.61,0.615,502514
0.615,0.62,502510
0.62,0.625,502515
0.625,0.63,502510
0.63,0.635,502515
0.635,0.64,502513
0.64,0.645,502511
0.645,0.65,502513
0.65,0.655,502515
0.655,0.66,502510
0.66,0.665,502512
0.665,0.67,502515
0.67,0.675,502510
0.675,0.68,502513
0.68,0.685,502512
0.685,0.69,502513
0.69,0.695,502511
0.695,0.7,502515
0.7,0.705,502512
0.705,0.71,502512
0.71,0.715,502513
0.715,0.72,502512
0.72,0.725,502513
0.725,0.73,502514
0.73,0.735,502512
0.735,0.74,502511
0.74,0.745,502514
0.745,0.75,502510
0.75,0.755,502514
0.755,0.76,502514
0.76,0.765,502513
0.765,0.77,502510
0.77,0.775,502514
0.775,0.78,502512
0.78,0.785,502512
0.785,0.79,502510
0.79,0.795,502514
0.795,0.8,502514
0.8,0.805,502513
0.805,0.81,502511
0.81,0.815,502516
0.815,0.82,502508
0.82,0.825,502515
0.825,0.83,502512
0.83,0.835,502513
0.835,0.84,502514
0.84,0.845,502510
0.845,0.85,502515
0.85,0.855,502513
0.855,0.86,502513
0.86,0.865,502511
0.865,0.87,502512
0.87,0.875,502513
0.875,0.88,502511
0.88,0.885,502514
0.885,0.89,502515
0.89,0.895,502509
0.895,0.9,502514
0.9,0.905,502512
0.905,0.91,502513
0.91,0.915,502511
0.915,0.92,502514
0.92,0.925,502512
0.925,0.93,502514
0.93,0.935,502512
0.935,0.94,502513
0.94,0.945,502511
0.945,0.95,502513
0.95,0.955,502511
0.955,0.96,502516
0.96,0.965,502511
0.965,0.97,502511
0.97,0.975,502514
0.975,0.98,502513
0.98,0.985,502513
0.985,0.99,502514
0.99,0.995,502508
0.995,1,251258
